192.168.1.189
192.168.1.207
192.168.1.189
192.168.1.164
192.168.1.154
CacheNum: 10000 virtualNum: 100
real cache num: 10000
is actived ? true
472 192.168.1.199 0 21
473 192.168.1.199 1 21
474 192.168.1.199 2 21
475 192.168.1.199 3 21
476 192.168.1.199 4 21
477 192.168.1.199 5 21
478 192.168.1.199 6 21
479 192.168.1.206 0 55
480 192.168.1.136 0 13
481 192.168.1.136 1 13
482 192.168.1.199 0 43
483 192.168.1.199 1 43
484 192.168.1.164 0 21
485 192.168.1.164 1 21
486 192.168.1.149 0 13
487 192.168.1.202 0 31
488 192.168.1.202 1 31
489 192.168.1.202 2 31
490 192.168.1.202 3 31
491 192.168.1.202 4 31
492 192.168.1.163 0 19
493 192.168.1.199 0 59
494 192.168.1.199 1 59
495 192.168.1.199 2 59
496 192.168.1.199 3 59
497 192.168.1.199 4 59
498 192.168.1.147 0 54
499 192.168.1.147 1 54
500 192.168.1.147 2 54
501 192.168.1.158 0 25
502 192.168.1.158 1 25
503 192.168.1.163 0 22
504 192.168.1.163 1 22
505 192.168.1.132 0 92
506 192.168.1.132 1 92
507 192.168.1.157 0 67
508 192.168.1.157 1 67
509 192.168.1.196 0 26
510 192.168.1.196 1 26
511 192.168.1.149 0 17
512 192.168.1.149 1 17
513 192.168.1.149 2 17
514 192.168.1.149 3 17
515 192.168.1.149 4 17
516 192.168.1.191 0 70
517 192.168.1.191 1 70
518 192.168.1.157 0 14
519 192.168.1.157 1 14
520 192.168.1.157 2 14
521 192.168.1.165 0 35
522 192.168.1.199 0 57
523 192.168.1.199 1 57
524 192.168.1.199 2 57
525 192.168.1.199 3 57
526 192.168.1.199 4 57
527 192.168.1.199 5 57
528 192.168.1.199 6 57
529 192.168.1.165 0 4
530 192.168.1.165 1 4
531 192.168.1.165 2 4
532 192.168.1.165 3 4
533 192.168.1.165 4 4
534 192.168.1.165 5 4
535 192.168.1.165 6 4
536 192.168.1.165 7 4
537 192.168.1.165 8 4
538 192.168.1.165 9 4
539 192.168.1.165 10 4
540 192.168.1.165 11 4
541 192.168.1.150 0 88
542 192.168.1.150 1 88
543 192.168.1.150 2 88
544 192.168.1.150 3 88
545 192.168.1.150 0 95
546 192.168.1.150 1 95
547 192.168.1.150 2 95
548 192.168.1.150 3 95
549 192.168.1.150 4 95
550 192.168.1.204 0 6
